class_id,class_name,duration,description
1,ICG Color Cycle,55,"ICG Color Cycle – это:Эргономичные велотренажеры нового поколения с современным дизайном и высокой функциональностью
    Компьютер WattRate – самый точный на рынке прямой измеритель мощности, с которой вы крутите педали
    Система тренировок Coach By Color: в зависимости от показателей мощности и сердечного ритма для вас формируется оптимальная нагрузка в пяти цветовых зонах
    Развитие силы, скорости, выносливости и минус 500 ккал за занятие
    Невероятные эмоции: динамичная музыка, энергия от групповой работы и живописные виртуальные маршруты
    Запись результатов занятий и настройка тренажеров с приложением ICG Training
    Тренировка подходит для любого уровня подготовки."
2,Upper body,55,"Функциональный тренинг — уникальная тренировочная программа.
Одно из самых энергоемких занятий, развивающих все основные двигательные качества человека. Навыки, полученные на этой тренировке, используются в повседневной деятельности и при занятиях спортом.
Использование самого различного оборудования: нестабильных платформ и поверхностей, разнообразных свободных весов и амортизаторов позволяет сделать эту тренировку максимально эффективной."
3,LEGS&BUTTS,55,"Программа Legs & Butts направлена на проработку традиционно проблемных участков женского тела — ягодиц и ног. Тренировки по этой программе позволяют повысить силу и выносливость мышц ног и ягодиц, делают ноги более стройными, подтягивают и укрепляют ягодицы, сжигают лишние калории, улучшают кардиовыносливость."
4,POSTURAL,45,"Тренировки по программе Postural способствуют хорошей осанке, укрепляют мышцы спины и брюшной пресс, способствуют снижению усталости в области спины."
5,MAKE BODY,55,"Программа Make Body позволяет одновременно прорабатывать все проблемные зоны тела, поскольку в ее основе лежит силовая аэробика.
В течение часа вы вместе с тренером сможете уделить внимание всем основным группам мышц и привести себя в тонус!
Тренировки по этой программе укрепляют все основные группы мышц, сжигают лишние калории, способствуют снижению веса, заменяют тренировку в тренажерном зале, повышают общую силу и выносливость, улучшают кардиовыносливость."
6,CORE,55,"Силовая тренировка, способствует формированию мышечного корсета, удерживающего позвоночник. Укрепляет мышцы брюшного пресса, разгибатели позвоночника, ягодичные, косые и межреберные мышцы. Снижает усталость спины, способствует формированию осанки."
7,ABS,30,"Программа ABS предназначена для эффективного развития и укрепления мышц брюшного пресса, а так же снятия нагрузки с поясницы. Кроме того, ряд упражнений курса укрепляет мышцы спины, поскольку они являются мышечными антагонистами прессу, а значит, их развитие также способствует развитию прорабатываемой области живота."
8,Функциональный тренинг,55,"Функциональный тренинг - уникальная тренировочная программа. Одно из самых энергоемких занятий, которое развивает все основные двигательные качества человека. Использование самого различного оборудования в виде нестабильных платформ и поверхностей, разнообразных свободных весов и амортизаторов позволяет сделать эту тренировку максимально эффективной."
9,BOOTCAMP,55,Активный класс для развития всех двигательных качеств. Почувствуйте себя в тренировочном лагере!
10,ViPR,55,"Необычная программа с использованием функционального тренажера ViPR дает возможность с большей эффективностью тренировать практически все группы мышц. Хорошо подходит для придания разнообразия в регулярных тренировках. Занятия по этой программе позволяют тренировать силу и выносливость мышц, улучшают кардио выносливость, сжигают лишние калории."
11,BODYPUMP,60,"Bodypump - самая популярная групповая силовая тренировка со штангой в Мире. Иначе ее  называют «фитнес-липосакцией» благодаря эффекту быстрого удаления жира с проблемных мест. Тренировки по данной программе позволяют быстро снизить вес, повышают силу и выносливость всех основных мышц, заменяют занятия в тренажерном зале."
12,BODYCOMBAT,60,"Программа Bodycombat построена на использовании различных элементов боевых искусств, которые связаны между собой танцевальными связками. Тренировки по данной программе улучшают кардиовыносливость, улучшают координацию, повышают уверенность в себе, улучшают силу и выносливость всех основных мышц, прививают основные навыки боевой техники."
13,BODYBALANCE,60,"Программа BODYBALANCE сочетает в себе движения йоги, стрейчинга, пилатеса.
Контролируемое дыхание, концентрация и специально подобранные позы и движения, совершаемые под спокойную музыку, позволяют привести тело в состояние гармонии и баланса.

Тренировки по данной программе улучшают гибкость и подвижность в суставах, улучшают силу мышечного корсета, успокаивают, понижают уровень стресса, сжигают калории, улучшают осанку."
14,RPM,50,"Занятия по программе RPM проходят на велотренажерах под зажигательную музыку. Инструкторы World Class следят за тем, чтобы тренировка не стала обычной велопрогулкой, постоянно меняют темп работы и ее вид. Незабываемая велогонка, способная сжечь максимум калорий и сбросить вес за кратчайший срок, улучшает кардиовыносливость, улучшает силу и выносливость мышц ног."
15,BODYJAM,60,"Bodyjam - кардио тренировка в стиле танца. Неповторимая смесь современных танцевальных стилей и самых последних музыкальных хитов позволит не только получить удовольстие от зажигательного занятия, но и заставит хорошенько попотеть. Тренировки по этой порграмме улучшают кардиовыносливость, повышают силу и выносливость всех основных мышц, улучшают настроение."
16,GRIT STRENGTH,30,"Это 30 минут суперинтенсивного фитнеса. Благодаря комплексу силовых упражнений с использованием гантели, штанги и фитнес-платформы задействованы и приведены в тонус все основные группы мышц. По окончании программы метаболизм в организме продолжается еще несколько часов, что гарантирует сжигание жира."
17,Йога для начинающих,55,"Yoga 1 — это первый этап изучения древней восточной мудрости, нацеленный на изучение основных поз йоги, техник правильного дыхания и расслабления. Тренировки по этой программе укрепляют глубокие мышцы всего тела, способствуют вытяжению позвоночника, развивают гибкость и контроль над телом."
18,Антигравити йога,55,"Antigravity Yoga — это сочетание традиционной йоги с элементами хореографии, воздушной акробатики, системы пилатеса и художественной гимнастики. Выполняя упражнения классической йоги в подвешенном состоянии на прикрепленных к потолку гамаках, вы сможете укрепить мышцы тела, улучшить кровообращение, координацию движений и здоровье в целом."
19,Пилатес,55,"Pilates — тренировки для тех, кто уже ориентируется в программе. На занятиях используются упражнения среднего уровня сложности.
Занятия позволяют добиться большей гибкости, силы и выносливости, улучшить осанку, координацию и общее физическое состояние. Занятия проводятся на специальном оборудовании «Реформер». Предварительная запись обязательна."
20,TOTAL STRETCH,50,"Данная программа предназначена для тех, кто готов потратить на свое здоровье час своего времени. Не жалейте времени на растяжку! Тренировки по данной программе улучшают гибкость и подвижность суставов, способствуют снятию стресса и глубокому расслаблению."
21,STEP TO DANCE,55,"Тренировки по данной программе улучшают кардио выносливость, делают ноги более стройными, способствуют снижению веса, улучшают координацию, укрепляют мышцы ног, сжигают лишние калории, заменяют тренировки на степ тренажере"
22,HIIT,55,"Это интенсивная плиометрическая тренировка с быстрым результатом! Сочетание принципов плиометрической тренировки и тренировки мощности и выносливости мышц, с использованием степ платформы, позволит достичь стройного, атлетического телосложения за короткий срок."
23,AQUA SHAPE,50,"Программа для тренировки основных мышечных групп: брюшного пресса, спины, ног, ягодиц и рук."
24,NOODLES BEGINNERS,50,"Соединение базовой аквааэробики и оборудования noodle - гибкой палки, которая помогает держаться на воде. Обучение основным движениям, тренировка аэробной выносливости и координации."
